sheezy0,i sing my own rhythm.
EBHockeyFan25,"i talk $number$% hockey, $number$% everything else."
LeChefDerrick,"trainee at sarova whitesands,p.a deputy president technical university of mombasa (tumso)"
johnnyosinges,the orlando
khushmanish,"manish k jha - it entrepreneur . passionate about startups, marketing, product development, business strategy, photography, music."
mdoonan1988,love life and it will live you ! never let your dreams die and always dream big !
nm25000,"legendary father, worldclass husband, mentally weak runner, monaghan gaa fanatic and former ireland fan"
MikeTabback,"former marine/now, radio talk show host for espn $number$ kazm. northern az's top station."
VGMarkis,"$number$, guitarist, youtuber, super smash bros. wii u luigi/rob/pac-man"
CollinRay23,pics with my girlfriends. $hashtag$. i made out with a $number$ year old. i have a few ant farms within my closet. i know victoria's secret.
Lucas_Wyrsch,"lucas wyrsch - networker, enterprise risk management consultant, actuary,"
Chirag__Gadhvi,"some say i'm a photographer who loves politics, music and football... $hashtag$ $hashtag$ instagram: $url$u"
AndybBenson,"if you cant have a laugh have a bag of chips and never stir your paint with a dirty stick,love music"
BooshayToday,lezzz get it onnnn
fahadameen1,ever tried to put the puzzle together with a piece missing..? yeah that's my life.. stuck in a recursive loop $hashtag$ $hashtag$
stanleysuen,"digital product developer. social media marketer. active stock investor. love drawing, photo and cats! $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$"
SquishyBaessist,when you've got bigger plans that no one else understands _ || $mention$ $number$6.15 || $mention$ is my luke to my cake
ScottyP922,conor is everywhere
HuskerPower66,husband. son. brother. husker football fan. jurassic park enthusiast.
Bearded_Rafidi,___ _____ _ _ __ ____ __ __ ___ __
Remy_Smash,owner and artist of distinguished music group.
Peguin101_5sos,i was runnin back to you! $url$. please rt this ill love you forever! _
VincentMTiberi,attorney/bikini model. former olympic dream team member ('92). humanist. play-dough enthusiast. future host of the tonight show. sandwich lover. unilingual.
jdjtweet63,"interested in flying, music, amateur radio; and doing business via the internet."
EnanoO_4G,"- mii unico idolo es dios -//-mii liimiite el ciielo, $smiley$ $hashtag$"
TheBDJ,"how you gon' win when you aint right within? - ($url$) i dont know nobody, but i write for $mention$"
joohnnyff,you can find me at $url$2
MRossiAuthor,"of course i consider myself a serious writer, why do you think i spend all day trying to figure out how to entertain my twitter follower $url$"
LogGic_SA,rapper |from phola ogies |member of $hashtag$-ola |facebook name loggic king | facebook page : loggic sa
GarciaaG99,working hard to make sure ima be the men when i die
matt_ransone,pineapple fanta w/ a splash of actavis
jhardy575,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
robrichley75,build your best body drug free
joan10__,i refuse to let a man that didnt make me break me. stay fly my friend$ by any means necessary.. $hashtag$ $hashtag$ $hashtag$ $hashtag$ $mention$ _....
CucumbaPantz,educated man.
StrongKamal,cricket is my first love. football is my passion. $url$
BAC0NT,e$smiley$-k. $number$.
JulianMcKeiver,working on my social media habits. instagram: $mention$
mmhdikbl,"wechat. / skype. / sc. : $mention$. | pin. : $number$b16143. | $number$jhs grd8. | new account, follback just mention | $url$"
SachaIDK,all the news $number$/7 & $number$/24
EnanoO_4G,"- mii unico idolo es dios -//-mii liimiite el ciielo, $smiley$ $hashtag$"
EricFlores77,"church planter, pastor, personal trainer, mma conditioning specialist, entrepreneur"
ZeTemplar,time lord. nintendo enthusiast. film lover. sandler hater. tea drinker. occasional ranter. caterer? the correct answer is always the moops.
NigeriaBlogger,official twitter account of donald $url$u $url$
BIGKeithMixshow,"mission statement ent president. whirl records vp of marketing & promo bigkeithmi$smiley$how is a beast at radio & street promo, marketing, and building brands"
BOiisluiyi,"im young money $hashtag$ weed everyday v yu rvrpeudes enamorame soy curicimo raja tabla __s, p_ __"
AadilPitafi,silent rebel. computer saaein-tist to be. founder: $url$u2
Mbkook24,"former shea stadium vendor. mets & cowboys fan. e-street enthusiast. thanks boss. oh, and cheese."
RealTristan13,"power forward for the cleveland cavaliers, university of texas alumni, longhorn for life. working hard to make my dreams become reality. lafamilia"
AZaidhan,ni sunnite ni chiite juste musulman. please don't read my tweets if u don't like liberty of speech. e$smiley$ure of zionocracy. [pakis]
DrSkyrme,"kent-based proud welsh geek/scientist (phd), lawyer (lld), polyglot, moaner, muso, wino, homo. opinions most vehemently my own: no-one else would want them."
Chingster23,a twitter account for nothing but poker news
dillon_dunn,do you
patcharliehatt,$number$. barber at the black comb.
NickSherman,"typographer and typographic consultant, co-founder of $mention$, $mention$ board member, skateboarder, musician, printer, pizza fanatic."
malodita,you probably meant to follow $mention$
abhijeet_ZADE,humility is the most endearing quality about any man. nothing else matters indeed. in joy of others lies our own | like to spread positive vibes |
geraldgezzy,abusing each day as it comes$|teenager|cricket|fashoin|fitnessfreak|sexygirls|christian|
puntino,"married to $mention$ , who enjoys playing most sports and being dad to his beautiful daughters isabelle and sofia. occasional column in $mention$ on $hashtag$"
DHolstine23,unlv political science major and personal trainer class of $number$ pike alpha upsilon
_fdamilola,"software engineer : java, ruby, python, django, swift, javascript and android/ios hacker. picky music and games. cynic. intj. $mention$ & $mention$ fanboy."
SuxATChess,"rocket ship builder, pizza and fried chicken e$smiley$ert, loves the giants (and i mean actual storybook giants, none of that sports balderdash) , terminally skilled"
Gentleman_1st,god fearing. navy_vet. sagittarius. $hashtag$ ig: gentleman__1st. a successful man is one who can lay a firm foundation with the bricks others have thrown at him.
wlassalle,"revenue generating, transformational $hashtag$. loves to discuss it strategy & emerging tech. $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$"
KEVlNOWENS,what do those run on
hasable,i can has social media
Ptavil,i love politics & law. i am a blogger. i support an equal power balance in the world. $hashtag$
wafflehampton,due to excessive cocaine usage i can no longer smell the haters
CLoprestiWFAN,wfan jets beat reporter || sports update anchor wfan/cbs sports radio || nyc born || nj resident || $mention$ class of '08
DC_357,number $number$ fan of my kids and their dreams...the one who aquires wisdom loves himself; the one who preserves understanding will prosper.-proverbs $number$:8 net
praetorius,michael praetorius: i work as digital strategist. tv and radio guy.
taj1944,"canucks, lakers, bc lions and any team facing the jays fan. i'll never forgive gillis for letting aaron rome go. $hashtag$ $hashtag$"
vegandogs50,editor $url$
__dUkEz,"official page of deezy dukez , deezydukezbookings$mention$.com"
radiofreekruzr,"notre dame and fordham alum, formerly didtechnology for $mention$ & $mention$. self-unrighteous. artisanal, free-range tweets since $number$."
shumiley,"tv shows, pop music and wwe"
LestersSmile,'aw dont be awkward around dan and phil' - dan to me - met phan $number$/10/15
lucas_1491,grinding hard for that payoff
NYSAnimal,pain and glory the album $url$
noll_taylor,some call me the gangster of love _
paulfflotron,"i am founder & owner of a professional pet care business, creature comforts great & small. i support animal rescue and involved in pet therapy."
brettslane,social media & search marketing consultant.
BC_Kowalski,author of robot awareness and other sci-fi/fantasy. city pages writer/photographer. aikido doer. rock climber. otaku. basically a geek. $url$
Sir_Gab3,"for god's strength (gabriel), we are thankful (tawong)"
NagarajVarnekar,working in it industry
JoseOfficial1,"eighteen, medicine"
vicgoddard,principal of passmores academy. independent thinking associate. author of the best job in the world. lifelong cpfc. proud of $hashtag$
RichCimini,"espn nfl nation reporter rich cimini covers the new york jets. he roots, often unabashedly, for the syracuse orange."
WWEMichaelB,say my name...your god damn right!
WavyForte,music producer audio dope slinger ig: $mention$
Mass_Bake,$url$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
PhilipMurphy92,aiming to make social media a better place with quality tweets
ShwiftyKaden,tcob- krazy wierdo
JustinWright21,anglo-sa$smiley$n kt-baet asu
SamuelAAdams,"editor, $mention$. writer: $mention$ $mention$ $mention$ rip $mention$ $mention$ [sam$mention$.com] all rights reserved, all wrongs reversed"
RickbTaylor,"google rick taylor.cape town, south africa. or check out http:// $url$"
ValleyAllBlack,"love walking, running, cycling, challenges, reading, theatre, rugby and neath rfc. i walk slowly, but never backward."
dalcashdvinsky,think tumbleweed.
Marqel_whoelse,"just because you are a character, doesnt mean that you have character r.i.p. ashley"
pikawalters,rock creek vocal music teacher.
DionFarnes,"you will probably find me at a wsl, wpl, serie a game, or sporting event..."
MrNebert,just here for the jokes. insta: $mention$
kerrywk,"uk author. next book, down among the dead men, out $number$ oct. first annual montgomery burns award for outstanding achievement in the field of excellence nominee."
Darkeise,i like womans and cars.
VonteAve,hatched in the $number$'s influenced by the dopest surrounded by the trillest enjoy my sound.
BurtLevine,"born outside chicago, grew up outside la, educated at university of la & served usn chaplains w/marine corp air wings b4 pledging to newspapers & pr campaigns"
harbey102,"arsenal $number$ life,hair freak,loves chilling.,eazy & quiet dude."
nathanhardman87,uk darts magazine and programme writer....aston villa fan $hashtag$ - see my site $url$u for bespoke work for sports/music or special occasions.
markwools,$hashtag$
IamArsalanShah,"a proud & patriotic p akis t an i, muslim by soul, imranist by ideology, social media activist, imran khan & pti all the way. a true believer of alif allah."
SWELLinFL,working towards conservation in the red hills region of n. fl and s. ga.
kurreycarroll,$hashtag$$hashtag$$hashtag$ champo final again!!_amberleaf_fat dube and everyone don't forget fuck pollerton
K_i_DoubleD,"kidd, $number$/wsu, and i got what it takes to rock the mic right yeah! ex-radio personality for kugr-two years, wsu sports crew nabj membercavs gangtaken"
hugerog43,"well i am a big green visual machine, that loves to read and take pictures, i also tweet just about anything that i enjoy and feel!!"
Brett_Klein,love all my south florida sports teams (gators not canes though) $smiley$. go to wdw as much as possible o
Little_Cesarss,they'll be days like this.
tomkennedy_nz,"student with an interest in politics, film and bandwagoning on sport."
JackClarkee,$number$. tottenham hotspur.
ItsMorphinTime_,(eric ford) | ig:$mention$ | writer | stylist | creative director| adventurer
brofistarmy1,"you just need time, everything's gonna be alright"
ericjboynton,"spartanburg (sc) herald-journal sportswriter and huge fan of boston sports teams, tom brady apologist, loves concerts, arts/theater and a good pinot noir."
dsghi,"founder & ceo of $mention$; tech, management & marking consultant. hobbies: web & mobile app dev, sports, life in hawaii. believer in the greater good."
DavidWooding,"journalist & broadcaster, who's worked for $number$ national news orgs. sun on sunday political editor since $number$. kopite & classical music lover."
xTheKidViciousx,"ghetto bass enthusiast, all around alright dude."
Upooorv,i e$smiley$e only when the script demands.
GerrardD,deep pockets are running our governments not the politicians. who is listening? rt doesn't necessarily mean i agree or endorse. views are entirely my own
BlazeMxxlaH,"_harmauetials, gr52ve world"
Dr_Alfrra,respect me .. respect u
PaulWrightythen,manchester based film maker. director of award winning short 'number $number$'. check the link to see my stuff.
reanimati9n,phd student (bioinformatics)
MechieDeuce,on another planet.music nation. [] ddp83.dd$mention$.com for bookings
RayDank,$number$. northern cali. musician.
OGHashyLarry,"for a guy who sees no meaning in existence, i sure fret about it a whole lot."
GregoryDraws,"rakishly handsome comic creator, rasslin fan, runner, and supervillain sous chef ($url$8). i also blog for $url$."
K_Bagherzadeh,$hashtag$ activist and supporter of $hashtag$
exoduslayer731,$number$ | metalhead | journalism & media student | journalist for $mention$
JohnDWilmore,political humor freelance writer widower with cancer my wife of $number$yrs to cancer support barackobama $hashtag$ $url$ $url$
AdamBarker9,"once you've wrestled, everything else in life is easy -dan gable / osu class of $number$"
andytouch,"tech evangelist at $mention$ technologies; travelling all-over europe! enjoys making weird e$smiley$erimental games, listening to radiohead and not being in the uk."
A1GJimmy117,$hashtag$ $hashtag$ $hashtag$ $hashtag$ co- ownerof $hashtag$ d'oro clothing line cooperparkwildonedoubleos $hashtag$&freemyhomies $url$1
JonahGreen,"filmmaker, writer, singer & comedian on the internet which is just a clever way of saying unemployed. buy now you know on itunes! $url$"
fpagejr,"publisher of houston style magazine, $url$ & president and ceo of minority print media, l.l.c."
717Zach,"eastside high class of $number$, also a future soldier, an aviation enthusiast, journalist, paranormal investigator, christian, and a gentleman as always. $hashtag$"
Almighty_Migos,totegang/artist/ chicago/ tboy/ situation gang/ get it gang...for booking email: hoodryanj15$mention$.com contact $number$-518-8962 free jt free big snake tajonia_
kylebumg,go frogs.
ShockRizal,"filipino bass singer. i also game, throw baseballs and rhyme on my good days. smash $number$ and heroes of the storm semi-pro."
cvx9_,_ _ _ _ _ _ .
11Ashcroft,liverpool fc. st helens rfc
nilt_iz_ill,i'm just sayin'
RoseGoldNairad,i got a couple catchphrases. $hashtag$
NellieDeuce,"jesus said, a new command i give you: love one another. as i have loved you, so you must love one another."
A_Diego_tinez,utsa
adiosmichael,the darkest night never felt so bright with you by my side.
GerstonB,"chilling at the corner of insinuation and sarcasm,also on somedays you can catch me using 'i' before 'e' except after 'c' ."
dougmcarthur,"internet marketing consultant. musician. father. entp. i enjoy tech, all things apple, reading and writing. these are my thoughts."
ChrisValdez_17,eastern washington university
BbellTheSensei,saw a baby cry then seconds later she laughed! the beauty of life the pain never last!
M_Lynch_,"former middle east intel analyst turned consultant. mba candidate. detroit native. loyola chicago alumni. tweeting on mena, intel, business news"
marktheshark32,"husband, father, sports fan, and a texan! p.s. also an astros fan! $number$x $hashtag$ member $number$x $hashtag$"
mig13,"die hard cleveland sports fan since birth. tucson browns backer member, buckeye born and bred.. ecc $number$:10"
MarioDinardo9,"if you want others to be happy, practice compassion. if you want to be happy, practice compassion."
sweirz,"media/pr pro; talk on $mention$,$mention$, $mention$, $mention$. dep. ed $hashtag$ publications, read by hm the queen, kylie, usain; sarcasm & irony"
johnnyfitba,i drive the trains that clear snow off the line. in training to write blackboard menus in pubs. aberdeen fan.
ericlinuskaplan,writer - big bang theory author - does santa exist?
garth_shanon,graduate student at new orleans baptist theological seminary; project director at louisiana right to life; aspiring writer
joe_hellerstein,"founder and cso, trifacta. berkeley cs prof, focused on data and computation. advisor to tech companies."
herbie_,limavady via ballymena
theodoretrilla_,"$number$ - engaged , a father of $number$ ."
eazayyy_,rest up johnnel & quon. free kal & morris $number$/11 _ noms4l
SugarLipStains,isn't it funny how you shine
shxvs_,iraqi/kurd // sc: shxvs.110
Divine_Ruler,n.o.i.
DEEDANNEL,free young free ruga free duna free manny free fresh $hashtag$
jaimin26783,"$hashtag$ design, $hashtag$ design, $hashtag$, $hashtag$, $hashtag$"
pinkfloydboy,"arrive beautiful, leave ugly. texas tech."
PROPEARCE96,"of course i have twitter! i'm tyler, $number$, manchester born, tattoo model, drummer and artist. music is my life. my tattoo's are my inspiration to live on! $smiley$"
prfctlukey,i'm gonna set this world on fire with the janoskians
kenneykijiji,"college dropout, shortpant defiler, unaccented bigot & advocate for a white canada. trudeau & nenshi fanboy. parody, duh $hashtag$ $hashtag$ $hashtag$ $hashtag$"
mikethecraigy,"a deadly, winking, sniggering, snuggling, chromium-plated, scent-impregnated, luminous, giggling, fruit-flavoured, mincing, ice-covered heap of mother love."
SteveSandmeyer,amazing distinction of having worked at all $number$ seattle sports radio stations.
TOXICLYHALE,he still likes her | please tommy please.
tonykiz01,pound is foolish penny is wise;think b4 u act!!!!||b pin $number$c30dd||whatsapp $number$
COol_1ne,i feel like a goddamn bullfighter bruh $hashtag$ $url$ - $number$/2 of $mention$ | $hashtag$| black jesus
neild_410,"$number$, studying p.e at the university of edinburgh. snapchat : neild-410 rangers, arsenal"
Johnjunior85,"am a public affairs analyst,a media producer,we video all kinds of events anywhere is happening,am a social media consultant. juniorucjunior$mention$.com."
CaptGuilli,fanboy pra caralho da dc.
owraff,taste tester of the blessington at mcdonalds.
PLyons09,"my life, and the things that i have done are all a series of wild guesses. anyone who says they sincerely know what theyre doing is lying. writing is an import"
burritoguido,"nobody likes you when you're $number$. everyone needs a mexican friend, lesbian friend, redneck friend, and adopted friend. i just so happen to be all $number$."
chamlett_89,"$number$, pnw, instagram: chamlett89. ."
_BlowFlex,god | family | education | rest easy swagg
KicksAndCurls,ovo. $number$ instagram: $mention$ chowan basketball $number$
nate_trifiro,"'i shall sell life dearly to an enemy of my country, but give it freely to rescue those in peril.' united states coast guard"
EtonOldBoys,"studied piss taking and tory satire at oxford, gaining a first class honours degree. i am so lucky to have never worked a day, in my life"
HappyHotelier,"was host and owner of a small luxurious boutique hotel in the hague. photographer and blogger at $url$ , $url$ and at"
SFBTchris,"business reporter for san francisco business times, part of acbj. beats include health care, education, nonprofits & philanthropy, plus misc. other assignments."
ShaunGamboa,$hashtag$ manager $mention$ $hashtag$ phd social innovation. in love with montreal.
arredondo_matt,"judo,boxing,b ball .$hashtag$"
Say_Lil_Zack,focused on the task at hand
_branden_,"i'm branden! $number$, programmer, artist, host of kingdom hearts union podcast $mention$"
OneRichNigga,ig: onerichnigga_
47_Mikey,"girl i can't feel my face, what are we smoking anyway ?"
JayemBruhh,flowin' | ig: jm.sf
HenrikVegetable,"love celtic, the movies and my family and not in that order. all funny gifs/fotieshops are stolen and i take credit for others work."
TASTECTH,$hashtag$ calum's maine shirt stan
devienm_,stephanie_ hip hop artist/songwriter booking: devmusicsj$mention$.com
Danielc67718433,animal and nature lover/photographer. free thinker. not happy being confined to the box that society wants you to stay in. tory hater nonconformist.
kevdawg14,"saint xavier university/class of $number$/here to learn, party, and make money!!"
LoganKopp629,the $number$'ers for life go cubs go if you aint first ur last.
Khatholitics,distributor of : $treet runnas clothing co. urban wear. hit me for inquiries. ambitions in the cage $hashtag$ $hashtag$ young. black. entrepeneur
UtdRantcast,"hi! i co-host a podcast about manchester united and write about 'em for $mention$, $mention$ and $mention$ i'm a psychotherapist by trade. contact for details"
jakebarker33,"i never think of the future, it comes soon enough."
_WintryLucas,still wanting that woolly mammoth mount
McHarryboyy,$mention$ harryboyymale lolz ent.+2348125802650 comedian orator presenter | praise singergeneral_event planner
TRPGer,mobile software developer | dad | $hashtag$ | prospective $hashtag$
Liebebelieber,"a belieber, live tweeting latest bieber news."
Dan_YoSon,"come from carolina i'm fly, i'm a wright brother. twatch at your own risk. ig: dan_yoson"
antianti1978,useless platitudes to comfort you as you die in agony. islington. hamstead. pyongyang.
kamalakhan_,no offense but armie hammer as clint barton needs to happen right now $url$
Rash_abdulla,instagram : rash.abdulla
SpicedIcePirate,i want to go where the masks are made.
MarkFairley,"writer. media maker. christian. idealist. interested in creative things, sport, technology, design, history, animals & adventure."
Shy_Kwame,snapchat: maddmaxx
The_Santman,retired howell high school varsity athlete hof $number$??
selectivity,twitter sensation and retired call of duty video gamer
iswets,"like a mother who protects her child ,her only child with her own life ,one should cultivate a heart of unlimited love and compassion towards all living beings"
AWBrawler,"angel winged brawler from $mention$ i proudly support the $hashtag$, $hashtag$ and $hashtag$ and discuss $hashtag$ and $hashtag$."
BeingPakistani,my life revolves around my parents_ | future pilot ia | $hashtag$ | developer- to be | ik | $hashtag$ | cross kr. ya bardasht kr! spree acc $mention$
jackcuningham,liverpool
Shailesh1209,"enterprise data director at $url$ , father, cricket, politics."
chef_grhunt,i have the best son and partner anyone could ask for. i cook and run a small company called hrp recruitment and partner of ghk catering
badshahjan050,badshahjan
danevans87,west point networks researcher | studying econ development w/africa focus | start-up founder | novice ta'i chi master | frustrated lead guitar player.
mikehanf,"dancing drummer $mention$, shirtless vibraphonist $mention$, angry guitarist $mention$. new music: $url$"
easy_e93,i'm a brilliant idiot. sometimes more brilliant sometimes more idiot depends on the day.
SAx_65,idc what people say $smiley$
ByAllenEtzler,writer. listener. storyteller. terp alum. writing about sports in central florida. i like wwe and good story ideas. allenetzler1$mention$.com
JimMayes,plowing greenfields... i help tech startups define & build their product (ror/js/css/html) -- bearded feral internet man & veteran of epic video game wars
KingJoshhh,ig: kingjoshh_
OMARQASEM,"adorable, ridiculously funny, loner and a full time couch potato. $hashtag$"
isntbrady,$mention$
Photogoofer,"marketing and photography. i sell, i shoot, i travel. sometimes i do all at the same time! send me on assignment. shoot for zumapress & $url$2d"
boma8702,"comedian compere, method actor, model......etc irep olx rothmans mtn ..... boma8702$mention$.com"
Rotnac,always be yourself - unless you can be batman - then always be batman!
jackypang_,definition: the simple pursuit of being better than yesterday
xox_JoBros_xox,jonas fan $smiley$ met $mention$ on $number$/13/10 i tend to act like a $number$ year old and fall in love with band members $number$1.09 $number$3.10 $number$1 $number$3 $number$4
rhntwr3,student
benswasey,"digital news $mention$. 'gambling is illegal at bushwood, sir, and i never slice.'"
VillainNickDark,|_bearded villain_ by night|maestro by day|musician|hopeless romantic
ColumbusGaBoi1,"i live like a man who's dead already.i have no fear whatsoever of anybody or anything.i'm not the type of nigga, that's gonna type to niggas. dsgb."
kctopoftheworld,"bio is a description of a person's life(blest), highlighting intimate e$smiley$eriences(words/visions/presence/love), includes analysis of personality(psalm $number$:11)."
corduroy,"executive director of mobile at the pants institute. former crystallographer, now ios developer. trying to help save news at fairfax."
ChristopherPhe6,"good vibes , tx"
griffgawd,budtender / rip kf / srp / pdx / sc: griffxgraff
passoj_,"een heleboel in wording waaronder mogelijk journalist en van alles aan het zijn. wereldreiziger in mijn dromen, maar toch hoofdzakelijk in negenduust."
RecognizeLK_,$mention$ my sexy latina mami
C3ASARE,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $smiley$ $url$u $url$ $url$
JimmyRowe1994,proud member of the playstation nation!
deeninetysix,"word slinger, concert junkie, dog petter, general dickhead. counting down to $hashtag$ / $hashtag$. blunt! opinions are my own. |-/"
_Peter_1980,"lover of tottenham hotspur, good music and jack daniels. part time sid owen stunt double."
ih8yh,$url$ $url$ presents... i love them: $url$
howulls,you ruined my joke and also my life
_papiluke,sc : first_god
Space_Boy_Ben,"poet, writer, artist, star traveler, and interstellar man of mystery, i came from outer space to save the human race."
ianbagg,"meeting people! selling tickets, fighting ninjas, helping homeless and porn critic. good chance there will be a grammatical error in my tweet ...suck it"
conordonaghey05,"talk all things liverpool. nobody is perfect, but being a liverpool fan is the closet you will come..."
RickJAlexander,"ageing punky sort of chap, who likes studying olden stuff & digging holes! twittering on about $hashtag$, $hashtag$, & other jolly important stuff!"
McHarryboyy,$mention$ harryboyymale lolz ent.+2348125802650 comedian orator presenter | praise singergeneral_event planner
Matt_Ros,copy editor: knock knock. photo editor: whos there? copy editor: to. photo editor: to who? copy editor: to whom!
RamoWolf96,a passionate drifter of the universe and a philanthropist most of the time.
stefaracena,"former south african champ working towards rio $number$ olympic games running,racewalking & mtb."
DaniSabbath,"old school // seguidor de las tres f: feo, fuerte y formal // el one piece lo tengo yo // bendecida fue la causa de mi fortuna."
pittso,head of urban living & built environment at innovate uk ($mention$); trustee at catalyst science discovery centre ($mention$); welsh (nb opinions my own)
glenweyl,researcher at microsoft research new england and assistant professor of economics and law at the university of chicago.
LifesNiceDrinks,"wine sales at angels' share wines, coffee sales at $mention$. your personal guide to the nice drinks in life. wset1. mba - bgs honor soc. views are my own."
mrwayneg,"sport journalist for $mention$ covering lufc, yorkshire football and rugby league | dad | runner | cavs fan | my views"
brendenziomek,we built this family on loyalty
autobot80,"a-league - bwefc, mcfc, sydneyfc, socceroos, mad mex fan, novak djokovic is king! serbia u20s champions"
Kieran_Pepper98,$number$/2 of dejakeration peps. mma & bjj practitioner at sbgi cork. i wake up in the morning and my teeth are already brushed
AdrianPetz,"whens the next party?!$smiley$ partty slut, hunters dry lover!$smiley$ traveller, beach/tanoholic-lover & (ca) in training!$smiley$ ."
MuhammadAfzal01,proud indian & in love with chennai (tamilan da)
DougLesmerises,"ohio state sports writer at northeast ohio media group $mention$ w/ $mention$, $mention$. dlesmerises$mention$.com"
NatePfromGV,bastard child of ron swanson | ambassador of the twitter rant | habitat lp out now.
will_sparling,swim. cycle. phd researching neighbourhood planning. cities. town planning.
GirlThatsRickey,r.i.p. pops
sam_towne,doing my thing in sheb town still gotta piece of colorado in my soul though
LucasJamesClark,throw me to the wolves and i shall return leading the pack - $mention$
EllulKayley,|youtube geek|smosher|potato|artist|also love my internet friends_
purpleidea,"follows you i'm a sysadmin, devops/config mgmt. hacker, i.t./network architect and physiologist. hi"
MangaEcstasy,"down for any kind of talks, especially anime, manga and football. $number$ years old $hashtag$ hit me up anytime and we can be friends - tarah my love _"
Ryan_Davis17,"baseball contributor at $mention$, sports thoughts $mention$ and $mention$. i like to respond with simpson's gif's. ryan.davis1786$mention$.com"
TheGuyInTheAvi,(friend of an) oxford graduate. not a wits/uct graduate. social media fanatic. i need a job
jamesamurray,president at&t michigan. views e$smiley$ressed are my own. rt mean nothing other than i found them interesting
The_Dapper_1,martin x
djbrucki,"i think, therefore i tweet."
YUNGCAL_HS,$hashtag$ x $hashtag$ or nothing!! $url$
Tronnor45ever,feels: (pronounced f-e-e-l-s) adjective; what every fangirl has when tronnor interacts. welcome to the $hashtag$ pre-order oct $number$th out dec $number$th
Peaky76,"yorkshireman in edinburgh | editor $mention$ | co-founder $mention$ | freelance marketing and more | tweet about arts, politics, horseracing"
johlag,"senior post producer at $mention$. one half of $mention$. formerly $mention$. also, i take pictures, make sounds, and do music and theater, often at the same time."
tracksuperfan,"eat. sleep. track & field. not much else, is there?"
stryker73,life is hard.. either take some pills or get over it
MPCLoK,"dj for $number$+ years, official dj for uk rap legend mystro aka $mention$ , suspect packages live resident, music dude. booking: rupert$mention$.com"
brianstokes92,"working for family fund, in the middle of a quarter-life crisis. is $number$ old? oh i also take notes on paper for york pride."
eoin_jennings,"infrastructure services, valuelabs cloud|offshoring|datacentre|security birding|arsenal|guitar|rush, views my own $url$"
tomangell,workng on marijuana reform for $number$+ years. founded marijuana majority ($mention$). former comms/pr/lobbying for $mention$ & $mention$. tomangell$mention$
Coltonjones14,colton jones| july $number$| grant county highschool senior!!
DustinWardd,all american lifestyle
LOWKEYTHAGOD,welcome to the mind of a maniac || ig:$mention$
CUMHEMMlNGS,why would i need the sun when you are the brightest light in my life aka luke hemmings
assholemomsenfy,$number$ | metal | black | anime | lol | wwe | taylor momsen | adam gontier | $number$fdp
jking962002,creating a f/t income on a p/t basis! learn more: $url$
garretw5,graphic design. bills. sabres. $mention$. disclaimer: i share my own opinions and use profanity frequently.
Kylebadboyy,*recently became your favorite rapper*
DevinMitchell,"managing editor of opinion, $mention$. $mention$ student. southern california native. tweets about politics, sports, and culture."
dexters1989,daddy to my beautiful baby alexis lynn and fiance to the most beautiful girl in this world jerika danielle
81TakTsukada18,canadian pnv devotee. managing life one day at a time. i post pics of attractive men and comment on what's important to me. please be $number$+
BrandonCyrus4,$number$. $hashtag$. la lumiere.blessed from above instagram:brandoncyrus snapchat: branflakes4
pvalente,"padre, marito, medico. dice la weil la bellezza larmonia del caso e del bene."
jay_christley,ain't nothing a blues song & glass of whiskey can't solve. or least make you forget about for awhile. $hashtag$ communications.
ShakCohenMusic,"i write, play and produce in garage rock bands blue svengalis and roktak. music fan, audiophile, vegan, humanist, mgtow"
leeholm92680690,i am a fan of the scream series and i also am trying to be a good person and i care about bex taylor klaus.protect bex shes a true friend to all of you
Reject5SOSxx,i'm only came here if calum is tweeting || $mention$ + me = cashley || being a good idol for $mention$ since $number$ || $hashtag$
clarasbrotherDW,i'm mike a soldier turned personal trainer. my sister is $mention$. $mention$ is my wife with our son peter. $mention$ is my wife who i adore.
MoreThanWerds,self loathing narcissist. paper cut survivor. $hashtag$ $hashtag$ $hashtag$ $hashtag$
sethreineke,i'm just a kid and my life is a nightmare
atij0hn,afc.
Rw81White,live for music
ShadFloss,"surviving, resisting, overturning white supremacy. divesting toxic masculinity, cissexism, homophobia. he/him. america is iggy and i'm john in tennessee."
RJGoods,"passionate patriots, maple leafs, blue jays, dodgers and pistons fan. fantasy sports enthusiast. sportswear sales rep."
RAGINGOAKLEY,$reserved$: $mention$: also dick. can i say that?
Are0h,generally unimpressed.
nickmellor35,nottingham forest fan for $number$ years. live for my two beautiful babies.
DarkskinCrisp,_ gtt fl l_v vn _f _t k_ll m
bugkiller7803,bugkiller
PissingOnKarma,artist/producer booking: marleybledsoe42$mention$.com snapchat: $mention$ st louis memphis michigan
BreeOlco,thinker
humblecute,"speak when u r angry,n u wil mak d best speech u wil eva regret,dont study me,else u wont graduate!ig:humblecoded9$hashtag$,ynwa/football commentator"
BJackson_97,"hopeful sports analyst, athlete, uw student- most tweets are about sports and all opinions are my own"
